id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
1,false,90,0,0,1,0,0,0,0,0,0,1,0,24,12.8,0.0,0.0,1.3,0,9,0,0,1,0.00,0.00,0.00,0.20,6,false,55,5.2,4.7,23.3,0.0,0.0,0.6,0.25,1.0,0.75,David Raya Martín,Arsenal,GKP
2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,44,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Kepa Arrizabalaga Revuelta,Arsenal,GKP
3,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein,Arsenal,GKP
4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Setford,Arsenal,GKP
5,false,90,0,0,1,0,0,0,0,0,0,0,1,32,28.0,1.3,9.0,3.8,8,3,2,10,1,0.20,0.01,0.21,0.20,9,false,61,6.2,5.7,21.9,0.06,0.07,0.6,0.25,1.0,0.75,Gabriel dos Santos Magalhães,Arsenal,DEF
6,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,60,2.1,2.3,12.5,0.0,0.0,0.83,0.0,1.47,0.98,William Saliba,Arsenal,DEF
7,false,67,0,0,1,0,0,0,0,1,0,0,0,16,5.4,12.6,2.0,2.0,1,1,2,3,1,0.00,0.01,0.01,0.10,5,false,57,7.2,6.7,13.8,0.44,0.45,0.51,0.31,1.24,0.93,Riccardo Calafiori,Arsenal,DEF
8,false,90,0,0,1,0,0,0,0,0,0,0,2,37,19.8,13.0,35.0,6.8,4,2,2,6,1,0.30,0.02,0.32,0.20,8,false,57,11.8,11.3,12.4,0.41,0.45,0.53,0.34,1.03,0.69,Jurriën Timber,Arsenal,DEF
9,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jakub Kiwior,Arsenal,DEF
10,false,22,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,0.0,0.1,0,2,0,0,0,0.00,0.00,0.00,0.10,1,false,53,1.2,0.7,2.3,0.0,0.0,1.04,0.0,0.0,0.0,Myles Lewis-Skelly,Arsenal,DEF
11,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.5,0.0,0.5,0.01,0.02,1.12,0.0,1.29,1.29,Benjamin White,Arsenal,DEF
12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,49,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Oleksandr Zinchenko,Nott'm Forest,DEF
13,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Clarke,Arsenal,DEF
14,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Maldini Kacurri,Arsenal,DEF
15,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Josh Nichols,Arsenal,DEF
16,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,98,0.0,1.0,3.6,0.16,0.24,1.07,0.0,1.27,0.63,Bukayo Saka,Arsenal,MID
17,false,17,0,0,0,0,0,0,0,0,0,0,0,3,0.0,5.2,0.0,0.5,0,0,0,0,1,0.00,0.00,0.00,0.00,1,false,79,1.5,0.5,2.2,0.08,0.27,1.06,0.55,1.65,0.55,Martin Ødegaard,Arsenal,MID
18,false,78,0,0,1,0,0,0,0,0,0,0,0,24,22.6,70.8,26.0,11.9,1,3,3,7,1,0.00,0.71,0.71,0.10,3,false,70,3.2,2.7,1.7,0.05,0.35,0.52,0.35,1.04,0.69,Noni Madueke,Arsenal,MID
