id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
1,false,90,0,0,0,2,0,0,0,0,0,0,0,-2,1.6,0.0,0.0,0.2,0,2,0,0,1,0.00,0.00,0.00,0.44,1,false,59,5.8,5.8,32.3,0.0,0.0,0.56,0.45,1.0,0.64,David Raya Martín,Arsenal,GKP
2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,42,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Kepa Arrizabalaga Revuelta,Arsenal,GKP
3,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein,Arsenal,GKP
4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Setford,Arsenal,GKP
5,false,90,0,0,0,2,0,0,0,0,0,0,0,6,21.4,15.4,4.0,4.1,4,0,1,5,1,0.00,0.03,0.03,0.44,1,false,66,9.5,9.5,43.7,0.07,0.13,0.56,0.45,1.0,0.64,Gabriel dos Santos Magalhães,Arsenal,DEF
6,false,90,0,0,0,2,0,0,0,0,0,0,0,4,17.2,4.5,6.0,2.8,6,1,0,6,1,0.16,0.03,0.19,0.44,1,false,60,4.5,4.5,11.6,0.04,0.07,0.58,0.37,1.12,0.62,William Saliba,Arsenal,DEF
7,false,90,0,0,0,2,0,0,0,0,0,0,0,-1,11.4,7.8,35.0,5.4,5,3,0,5,1,0.23,0.05,0.28,0.44,1,false,58,5.8,5.8,16.0,0.24,0.27,0.5,0.53,1.16,0.74,Riccardo Calafiori,Arsenal,DEF
8,false,90,0,0,0,2,0,0,0,0,0,0,0,7,13.0,6.3,8.0,2.7,1,3,3,4,1,0.00,0.03,0.03,0.44,1,false,61,5.8,5.8,25.6,0.21,0.28,0.52,0.51,1.02,0.61,Jurriën Timber,Arsenal,DEF
9,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jakub Kiwior,Arsenal,DEF
10,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,51,1.5,1.5,1.6,0.0,0.0,1.04,0.0,0.0,0.0,Myles Lewis-Skelly,Arsenal,DEF
11,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,53,1.0,1.0,0.4,0.01,0.02,1.12,0.0,1.29,1.29,Benjamin White,Arsenal,DEF
12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,49,0.0,0.0,0.2,0.01,0.12,1.23,1.42,1.07,0.0,Oleksandr Zinchenko,Nott'm Forest,DEF
13,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Clarke,Arsenal,DEF
14,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Maldini Kacurri,Arsenal,DEF
15,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Josh Nichols,Arsenal,DEF
16,false,90,1,0,0,2,0,0,0,0,0,0,3,40,49.6,36.7,46.0,13.2,2,8,2,12,1,0.52,0.19,0.71,0.44,12,true,101,7.2,7.2,17.4,0.32,0.62,0.59,0.4,1.06,0.66,Bukayo Saka,Arsenal,MID
17,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,78,0.0,0.0,1.4,0.06,0.42,1.06,0.45,1.79,0.45,Martin Ødegaard,Arsenal,MID
18,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,68,0.0,0.0,0.6,0.09,0.34,0.6,0.59,1.18,0.59,Noni Madueke,Arsenal,MID
19,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,68,0.4,0.4,0.9,0.32,0.35,0.83,0.0,0.84,0.42,Gabriel Martinelli Silva,Arsenal,MID
20,false,90,1,0,0,2,0,0,0,0,0,0,2,32,35.4,20.3,11.0,6.7,0,5,0,5,1,0.05,0.31,0.36,0.44,9,false,69,8.0,8.0,0.8,0.27,0.43,0.51,0.56,0.98,0.56,Leandro Trossard,Arsenal,MID
21,false,90,0,0,0,2,0,0,0,0,0,0,0,16,22.0,22.8,10.0,5.5,5,3,3,11,1,0.07,0.20,0.27,0.44,2,false,69,7.2,7.2,20.5,0.12,0.36,0.55,0.5,1.01,0.6,Declan Rice,Arsenal,MID
22,false,90,0,1,0,2,0,0,0,0,0,0,0,15,22.8,16.6,16.0,5.5,2,5,0,7,1,0.38,0.05,0.43,0.44,5,false,59,3.0,3.0,1.0,0.16,0.21,0.58,0.65,0.87,0.44,Mikel Merino Zazón,Arsenal,MID
23,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio Ferreira Vieira,Arsenal,MID
