id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
1,false,90,0,0,0,1,0,0,0,0,0,1,0,6,6.6,0.0,0.0,0.7,0,5,0,0,1,0.00,0.00,0.00,0.07,2,false,59,4.0,4.0,31.4,0.0,0.0,0.52,0.5,1.0,0.58,David Raya Martín,Arsenal,GKP
2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,42,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Kepa Arrizabalaga Revuelta,Arsenal,GKP
3,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein,Arsenal,GKP
4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Setford,Arsenal,GKP
5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,64,0.0,0.0,23.5,0.07,0.13,0.56,0.45,1.0,0.64,Gabriel dos Santos Magalhães,Arsenal,DEF
6,false,90,0,0,0,1,0,0,0,0,0,0,0,12,15.6,1.5,0.0,1.7,4,3,1,5,1,0.00,0.01,0.01,0.07,2,false,60,4.0,4.0,12.8,0.03,0.06,0.52,0.44,1.11,0.55,William Saliba,Arsenal,DEF
7,false,90,0,0,0,1,0,0,0,0,0,0,0,9,9.6,2.3,6.0,1.8,4,3,3,7,1,0.07,0.03,0.10,0.07,2,false,58,3.0,4.0,14.4,0.22,0.25,0.46,0.57,1.14,0.67,Riccardo Calafiori,Arsenal,DEF
8,false,90,0,1,0,1,0,0,0,0,0,0,0,6,15.0,14.8,20.0,5.0,1,4,0,1,1,0.50,0.04,0.54,0.07,5,false,63,5.0,5.0,30.7,0.24,0.3,0.48,0.56,1.02,0.56,Jurriën Timber,Arsenal,DEF
9,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jakub Kiwior,Arsenal,DEF
10,false,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,false,51,1.7,1.7,1.6,0.0,0.0,1.02,0.0,0.0,0.0,Myles Lewis-Skelly,Arsenal,DEF
11,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,53,1.0,1.0,0.4,0.01,0.02,1.12,0.0,1.29,1.29,Benjamin White,Arsenal,DEF
12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,49,0.0,0.0,0.2,0.01,0.12,1.23,1.42,1.07,0.0,Oleksandr Zinchenko,Nott'm Forest,DEF
13,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,38,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Clarke,Arsenal,DEF
14,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Maldini Kacurri,Arsenal,DEF
15,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,38,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Josh Nichols,Arsenal,DEF
16,false,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,27.3,21.0,6.6,3,8,3,14,1,0.11,0.09,0.20,0.07,4,false,101,7.3,7.3,17.2,0.29,0.56,0.53,0.47,1.05,0.58,Bukayo Saka,Arsenal,MID
17,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,78,0.5,1.0,1.3,0.06,0.42,1.06,0.45,1.79,0.45,Martin Ødegaard,Arsenal,MID
18,false,12,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.4,2.0,0.5,1,1,0,2,0,0.00,0.01,0.01,0.02,1,false,68,0.7,1.3,0.6,0.08,0.33,0.59,0.57,1.14,0.57,Noni Madueke,Arsenal,MID
19,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,68,0.5,1.0,0.8,0.32,0.35,0.83,0.0,0.84,0.42,Gabriel Martinelli Silva,Arsenal,MID
20,false,77,1,1,0,1,0,0,0,0,0,0,2,39,58.2,25.8,29.0,11.3,0,5,2,7,1,0.22,0.08,0.30,0.06,12,true,69,10.0,7.5,1.1,0.27,0.42,0.46,0.63,1.0,0.5,Leandro Trossard,Arsenal,MID
21,false,90,0,1,0,1,0,0,0,1,0,0,0,27,37.0,40.8,17.0,9.5,3,6,4,13,1,0.26,0.38,0.64,0.07,6,false,70,8.0,8.0,22.5,0.13,0.38,0.51,0.55,1.01,0.55,Declan Rice,Arsenal,MID
22,false,87,0,1,0,1,0,0,0,0,0,0,0,24,24.4,15.8,5.0,4.5,0,4,5,9,1,0.06,0.44,0.50,0.07,5,false,59,4.7,4.7,0.9,0.14,0.26,0.49,0.72,0.9,0.36,Mikel Merino Zazón,Arsenal,MID
23,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio Ferreira Vieira,Arsenal,MID
24,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,52,1.3,1.3,0.1,0.32,0.32,0.32,0.0,0.0,0.0,Christian Nørgaard,Arsenal,MID
25,false,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,false,51,1.7,1.7,0.1,0.13,0.17,0.4,0.0,0.0,0.55,Ethan Nwaneri,Arsenal,MID
26,false,90,0,0,0,1,0,0,0,0,0,0,0,12,8.8,16.7,2.0,2.8,5,3,2,10,1,0.05,0.01,0.06,0.07,2,false,54,4.3,4.3,2.7,0.05,0.14,0.51,0.53,0.96,0.61,Martín Zubimendi Ibáñez,Arsenal,MID
27,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,48,0.7,0.7,0.1,0.34,0.62,0.22,0.0,0.0,0.0,Reiss Nelson,Brentford,MID
28,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Ismeal Kabia,Arsenal,MID
29,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Albert Sambi Lokonga,Arsenal,MID
30,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,73,0.5,0.5,0.3,0.0,0.03,2.46,0.0,0.0,0.0,Kai Havertz,Arsenal,FWD
31,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,64,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel Fernando de Jesus,Arsenal,FWD
32,false,90,0,0,0,1,0,0,0,0,0,3,0,15,27.8,0.0,0.0,2.8,0,7,0,0,1,0.00,0.00,0.00,1.79,3,false,50,6.0,6.0,4.5,0.0,0.0,1.22,0.8,1.0,0.3,Emiliano Martínez Romero,Aston Villa,GKP
33,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,43,0.0,0.0,0.5,0.0,0.0,2.05,1.5,1.0,0.5,Marco Bizot,Aston Villa,GKP
