id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
167,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,42,0.0,6.0,0.5,0.04,0.08,1.77,1.24,1.0,0.37,Axel Disasi,Aston Villa,DEF
168,false,90,0,0,0,1,0,0,0,0,0,0,0,7,4.6,24.0,2.0,3.1,1,0.05,0.02,0.07,0.71,0,0,0,0,0,0,0,2,false,47,4.0,4.5,4.1,0.19,0.4,1.27,1.31,0.97,0.21,Enzo Fernández,Chelsea,MID
169,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,59,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Conor Gallagher,Chelsea,MID
170,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alfie Gilchrist,Chelsea,DEF
171,false,4,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.4,0.0,0.1,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1,false,49,0.2,1.0,1.4,0.08,0.16,1.41,1.4,0.99,0.12,Malo Gusto,Chelsea,DEF
172,false,81,0,0,0,1,0,0,0,0,0,0,0,9,3.2,7.1,0.0,1.0,1,0.00,0.03,0.03,0.71,0,0,0,0,0,0,0,2,false,48,1.0,1.5,0.9,0.03,0.11,1.75,1.59,1.06,0.0,Reece James,Chelsea,DEF
173,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,43,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Omari Kellyman,Chelsea,MID
174,false,8,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.7,0.0,0.2,0,0.00,0.01,0.01,0.00,0,0,0,0,0,0,0,1,false,45,0.5,1.0,0.4,0.03,0.08,1.83,1.67,1.34,0.17,Roméo Lavia,Chelsea,MID
175,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,63,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Romelu Lukaku Bolingoli,Chelsea,FWD
176,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malang Sarr,Chelsea,DEF
